ccode,VMAR_Region,GPOP,CPOP,GPRO,LANG,CUSTOM,BELIEF,RELIGS1,RACE,GROUPCON,GC119,GC2,GC6B,GC7,GC10,GC11,AUTLOST,YEARWT,MAGN,PRSTAT,SEPX,SEPKIN,EMIG,DISPLACE,POLDIS,ECDIS,CULPO1,CULPO2,GOJPA,AUTON2,AUTGAIN,AUTPRO,LEGISREP,EXECREP,GUARREP,POLGR,ECGR,CULGR,KINSUP,KINMATSUP,KINPOLSUP,KINMILSUP,STASUP,STAMATSUP,STAPOLSUP,STAMILSUP,NSASUP,NSAMATSUP,NSAPOLSUP,NSAMILSUP,INTRACON,FACTSEV1,FACTSEV2,FACTSEV3,INTERCON,CCGROUPSEV1,CCGROUPSEV2,CCGROUPSEV3,PROT,REB,REPGENCIV
316,3,5,7,0.0149,1,1,0,1,1,0,-1,0,0,0,1,1,0,1,1,0,0,0,1,1,3,3,0,0,2,0,-1,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1
316,3,5,7,0.0188,0,0,0,1,0,2,4,1,1,3,2,3,0,1,1,0,0,0,0,0,0,0,0,0,2,0,-1,-1,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
316,3,5,7,0.0188,0,0,0,1,0,2,4,1,1,3,2,3,0,1,1,0,0,0,0,0,0,0,0,0,2,0,-1,-1,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
316,3,5,7,0.0188,0,0,0,1,0,2,4,1,1,3,2,3,0,1,1,0,0,0,0,0,0,0,0,0,2,0,-1,-1,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
317,3,5,6,0.106,1,1,0,1,0,3,-1,1,3,3,3,3,1,4,3,2,3,1,0,0,0,2,1,1,2,0,-1,0,1,1,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
317,3,5,6,0.106,1,1,0,1,0,3,-1,1,3,3,3,3,1,4,3,2,3,1,0,0,0,2,1,1,2,0,-1,0,1,1,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
317,3,5,6,0.106,1,1,0,1,0,3,-1,1,3,3,3,3,1,4,3,2,3,1,0,0,0,2,1,1,2,0,-1,0,1,1,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0
317,3,5,6,0.0379,2,1,-1,-1,1,2,3,0,0,0,1,1,0,1,1,0,0,0,1,0,1,1,0,0,2,0,-1,0,0,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0
317,3,5,6,0.0379,2,1,-1,-1,1,2,3,0,0,0,1,1,0,1,1,0,0,0,1,0,1,1,0,0,2,0,-1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
317,3,5,6,0.0379,2,1,-1,-1,1,2,3,0,0,0,1,1,0,1,1,0,0,0,1,0,1,1,0,0,2,0,-1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0
